Ref.,Limits of Potential Window (V),Lower Limit of Potential Window (V),Upper Limit of Potential Window (V),Potential Window (V),Current Density (A/g),Capacitance (F/g),Specific Surface Area (m^2/g),Charge Transfer Resistance (Rct) (ohm),Equivalent Series Resistance (Rs) (ohm),Electrode Configuration,Pore Size (nm),Pore Volume (cm^3/g),Ratio of ID/IG,N at%,C at%,O at%,Electrolyte Chemical Formula,Electrolyte Ionic Conductivity,Electrolyte Concentration (M),Cell Configuration (three/two electrode system)
DOI: 10.1007/s10854-020-03373-z,-0.6 to 0.8,-0.6,0.8,1.2,5,964,,,,mnO2@Polyaniline/Carbon nanotubes/Boron-doped graphene (mnO2@ PCBG),,,0.79,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s42823-019-00045-9,-0.8 to 0.2,-0.8,0.2,0.4,1,972,,,,Fe3O4 (0.4 m)/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s42823-019-00045-9,-0.8 to 0.2,-0.8,0.2,0.4,2,578,,,,Fe3O4 (0.4 m)/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s42823-019-00045-9,-0.8 to 0.2,-0.8,0.2,0.4,3,360,,,,Fe3O4 (0.4 m)/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s42823-019-00045-9,-0.8 to 0.2,-0.8,0.2,0.4,5,265,,,,Fe3O4 (0.4 m)/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-020-04108-w,-0.2 to 0.7,-0.2,0.7,0.9,,,,,,ZnO@rGO,,,1.16,,,,KOH,6,0.1,three-electrode system
DOI: 10.1007/s11581-018-2677-1,0 to 0.5,0,0.5,0.5,1,626.84,,,,Ni(OH)2/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-018-2677-1,0 to 0.5,0,0.5,0.5,2,544.32,,,,Ni(OH)2/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-018-2677-1,0 to 0.5,0,0.5,0.5,3,444.17,,,,Ni(OH)2/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-018-2677-1,0 to 0.5,0,0.5,0.5,4,371.67,,,,Ni(OH)2/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-018-2677-1,0 to 0.5,0,0.5,0.5,5,316.8,,,,Ni(OH)2/rGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,1,254,,0.18,0.48,rGO-3,,,1.098,8.07,85,6.93,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,2,243,,0.18,0.48,rGO-3,,,1.098,8.07,85,6.93,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,5,232,,0.18,0.48,rGO-3,,,1.098,8.07,85,6.93,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,10,228,,0.18,0.48,rGO-3,,,1.098,8.07,85,6.93,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,20,216,,0.18,0.48,rGO-3,,,1.098,8.07,85,6.93,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,50,216,,0.18,0.48,rGO-3,,,1.098,8.07,85,6.93,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,1,244,,0.74,0.47,rGO-1,,,1.077,7.05,86.21,6.73,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,1,240,,1.37,0.42,rGO-2,,,1.1,7.84,85.17,6.99,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-021-07046-3,-1.0 to 0,-1,0,1,1,231,,0.24,0.42,rGO-4,,,1.12,6.99,85.5,7.96,KOH,6,6,three-electrode system
DOI: 10.1007/s10008-020-04713-z,-1.1 to -0.2,-1.1,-0.2,0.9,0.07,1132.9,,,,rGO-CuS5,22,,,0,30.34,23.67,LiClO4,,1,three-electrode system
DOI: 10.1007/s11051-014-2432-0,-0.3 to 0.8,-0.3,0.8,1.1,,,,,,graphene/polyaniline hybrid hollow microsphere,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10854-022-07890-x,0 to 1.0,0,1,1,1,683,8.896,0.60,0.50,(ZIAmPH @ GQDx=50 mg)sonic (ZIAmPHGQD2),3.45,,1.05,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s10854-022-07890-x,0 to 1.0,0,1,1,2,518,8.896,0.60,0.50,(ZIAmPH @ GQDx=50 mg)sonic (ZIAmPHGQD2),3.45,,1.05,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s10854-022-07890-x,0 to 1.0,0,1,1,3,466,8.896,0.60,0.50,(ZIAmPH @ GQDx=50 mg)sonic (ZIAmPHGQD2),3.45,,1.05,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s10854-022-07890-x,0 to 1.0,0,1,1,5,358,8.896,0.60,0.50,(ZIAmPH @ GQDx=50 mg)sonic (ZIAmPHGQD2),3.45,,1.05,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s10854-022-07890-x,0 to 1.0,0,1,1,10,239,8.896,0.60,0.50,(ZIAmPH @ GQDx=50 mg)sonic (ZIAmPHGQD2),3.45,,1.05,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s10854-022-07890-x,0 to 1.0,0,1,1,20,147,8.896,0.60,0.50,(ZIAmPH @ GQDx=50 mg)sonic (ZIAmPHGQD2),3.45,,1.05,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s11581-016-1803-1,-0.2 to 0.8,-0.2,0.8,1,1,575,,,,NG/H-PPy,,,,7.14,77.16,15.71,HCl,,1,three-electrode system
DOI: 10.1186/s11671-017-2010-3,0 to 1,0,1,1,1,96.16,,,,CBF/PPy-rGO-2,,,,6.79,71,18.69,solid-state electrolyte,,,two-electrode system
DOI: 10.1007/s10008-017-3831-9,-0.2 to 0.8,-0.2,0.8,1,10,1140,,,,Fe3+-Zn2+-PANI/GO ,,,,,,,Na2SO4,3,0.5,three-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,0.35,310,,,,PANI-SA-SGO-TiO2(1:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,0.35,366,,,,PANI-SA-SGO-TiO2(3:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,0.35,422,,,,PANI-SA-SGO-TiO2(5:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,0.35,480,,,,PANI-SA-SGO-TiO2(7:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,0.7,460,,,,PANI-SA-SGO-TiO2(7:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,1.7,422,,,,PANI-SA-SGO-TiO2(7:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,3.5,400,,,,PANI-SA-SGO-TiO2(7:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,7,360,,,,PANI-SA-SGO-TiO2(7:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-017-3732-y,0 to 0.6,0,0.6,0.6,0.35,440,,,,PANI-SA-SGO-TiO2(10:1),,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s10008-015-3094-2,-0.2 to 0.8,-0.2,0.8,1,5,825,76.13,,,PPy/moO3/GNR,,0.29,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-3094-2,-0.2 to 0.8,-0.2,0.8,1,7,750,76.13,,,PPy/moO3/GNR,,0.29,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-3094-2,-0.2 to 0.8,-0.2,0.8,1,9,670,76.13,,,PPy/moO3/GNR,,0.29,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-3094-2,-0.2 to 0.8,-0.2,0.8,1,12,600,76.13,,,PPy/moO3/GNR,,0.29,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-3094-2,-0.2 to 0.8,-0.2,0.8,1,15,560,76.13,,,PPy/moO3/GNR,,0.29,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-019-03331-8,0 to 0.4,0,0.4,0.4,0.5,739,113.25,,,CoS2/ GO-0.25,,0.16,,,,,KOH,6,6,three-electrode system
